policy,threshold,approved,approval_rate,realized_npv,mean_realized_npv_approved,observed_default_rate_approved,overlap_with_current_decisions
direct_margin_ridge,-0.05489671197309357,2233,0.875343002744022,3739457.3603819655,1674.6338380573065,0.09986565158978952,0.9074872598980792
direct_margin_ridge,-0.05500000000000001,2233,0.875343002744022,3739457.3603819655,1674.6338380573065,0.09986565158978952,0.9074872598980792
decomp_plus_profit_support_0.10,0.04802652355201113,1894,0.7424539396315171,3739308.1199204503,1974.2915099896782,0.07074973600844774,0.9525676205409643
decomp_plus_profit_support_0.12,0.009999999999999995,2127,0.8337906703253626,3739184.3516454836,1757.961613373523,0.08838740009402915,0.9560956487651902
blend_decomp_direct_hgb_0.5,0.015,1979,0.7757742061936496,3739154.160260191,1889.4159475796823,0.07731177362304194,0.968639749117993
decomp_plus_profit_support_0.08,0.0,2133,0.8361426891415131,3738795.682025821,1752.8343563177782,0.08860759493670886,0.9537436299490396
decomposed_margin,-0.017474426856533474,2142,0.839670717365739,3738252.337063334,1745.215843633676,0.09010270774976657,0.9502156017248138
blend_decomp_direct_hgb_0.9,0.029675801359672106,1867,0.7318698549588397,3737900.7450571475,2002.0893117606574,0.07016604177825388,0.9263034104272834
decomp_plus_profit_support_0.04,0.008436339478676497,2061,0.8079184633477068,3737602.0102811325,1813.4895731592103,0.08345463367297429,0.981967855742846
blend_decomp_direct_hgb_0.9,-0.020000000000000004,2199,0.8620148961191689,3737310.8203220265,1699.5501684047415,0.0941336971350614,0.9255194041552333
decomp_plus_profit_support_0.10,0.0049999999999999906,2132,0.8357506860054881,3736585.1141695585,1752.619659554202,0.08864915572232646,0.9541356330850647
decomp_plus_profit_support_0.12,0.008436339478676497,2132,0.8357506860054881,3736585.1141695585,1752.619659554202,0.08864915572232646,0.9541356330850647
